Churn,Tenure_Low,High_MonthlyCharges,Has_TechSupport,Services_Count,Satisfaction_Score,Is_MonthToMonth,TotalCharges_per_Month,Is_FiberOptic,Has_Dependents,Is_Paperless,SeniorCitizen_Encoded,Churn_Encoded,Tenure_Low_Encoded,Has_TechSupport_Encoded,Is_MonthToMonth_Encoded,Has_Dependents_Encoded,Is_Paperless_Encoded,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,MonthlyCharges-binned_Low,MonthlyCharges-binned_Medium,TotalCharges-binned_Low,TotalCharges-binned_Medium,tenure-binned_Low,tenure-binned_Medium
0.0,1,0,0,0,-0.901227759127791,1,-1.1513023109664546,0,0,1,0,0,1,0,1,0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
0.0,0,0,0,1,1.0563195369514786,0,-0.30145801705403386,0,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True
1.0,1,0,0,1,0.07754588891184382,1,-0.3509658683858858,0,0,1,0,1,1,0,1,0,1,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False
0.0,0,0,1,0,2.035093184991114,0,-0.7860530228721232,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True
1.0,1,1,0,1,-0.901227759127791,1,0.36760245467406755,1,0,1,0,1,1,0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
1.0,1,1,0,3,0.07754588891184382,1,1.2509459276770791,1,0,1,0,1,1,0,1,0,1,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
0.0,0,1,0,2,-0.901227759127791,1,0.7899584439334444,1,1,1,0,0,0,0,1,1,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
0.0,1,0,0,0,0.07754588891184382,1,-1.1400695187898853,0,0,0,0,0,1,0,1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
1.0,0,1,1,3,1.0563195369514786,1,1.4566051373804454,1,0,1,0,1,0,1,1,0,1,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True
0.0,0,0,0,1,0.07754588891184382,0,-0.2788692468730852,0,1,0,0,0,0,0,0,1,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
